qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Teja Fast Food,4.0,-356,·,?1200,Cafe,·,,"Buchiah Thota, 1st Line",,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,Order online,?
Cafe garden,4.4,-11,,,Tea store,·,,NH-5,,,,Delivery,,,,,,
Club Falooda,4.2,-264,·,?200400,Restaurant,·,,opp. 3m car,,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
R One Punjabi Dhaba Multicuisine Restaurant,4.6,"-12,070",·,?200600,Punjabi,·,?,·,"Horse Race Club, Kakani Road, opposite Mahindra Showroom",Open,· Closes 12 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
RSN SNOOKER AND BILLIARDS CAFE,5.0,-54,,,Pool hall,·,,"2nd Floor, Besides Vibha Jewellery, Roman Island Building, 4th Ln, opposite to Nava Vastra",,Open,· Closes 11 pm,"""Clean, pleasant, warming ambience.""",,,,,,
Krishna Cafe,3.8,-156,·,?1200,Restaurant,·,,"Door No :15-11-150, Beside Mediline Hospital, Near Padmaja Petrol Bunk Mangalagiri Road, Guntur - Vijayawada Hwy",,Open,· Closes 9 pm,Dine-in,·,Takeaway,,,,
The Wagon Wheel,4.6,-572,·,?200400,Continental restaurant,·,,"Inner Stop Building, Mahatma Gandhi Inner Ring Rd",,Opens soon,· 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Tonique Restaurant & Bar,4.1,-929,·,??,Restaurant,·,,"8CJ9+2G5, JKC College Rd",,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,Delivery,Order online,?
Inner Square,3.8,"-3,632",·,?200400,Andhra,·,?,·,Mahatma Gandhi Inner Ring Rd,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Amogham | Pure Veg Restaurant | Guntur,4.5,"-1,637",·,?200400,Vegetarian,·,,"Ground Floor, Baker Compound, 13, D.No. 5, 6th Ln",,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No delivery,Order online,?
AROMA RAIL COACH RESTAURANT 24 Hours Opened,4.1,-116,·,?200800,Restaurant,·,,"RAILWAY STATION, TERMINAL 2, WEST SIDE, 1st Ln",,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
