qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1,AJB7ye,AJB7ye 2,doJOZc,W4Efsd 6
Mythri family restaurant (Kunda Biryani Special),4.0,-711,Family-friendly,·,,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹1–200,,
One Stop Cafe Kurnool,3.7,-6,Cafe,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹1–200,,"Shopee, Shirla, Birla Compound, KS ICON"
Ajwa Restaurant,4.2,"-2,819",Biryani,·,·,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,,,·,₹200–400,,Railway Station Rd
S.G.H.M Family Restaurant,4.5,-128,Restaurant,,,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No delivery,,,·,₹200–400,,
High-Way Hunt,4.9,-17,Cafe,·,"Kurnool chittor highway, near nayara petrol pump, near to nayara essar petrol pump",Open 24 hours,,Dine-in,·,Drive-through,,,,,·,₹1–200,,
Paradise Biryani | Kurnool,4.1,"-2,864",Breakfast,·,"The Mourya Inn Hotel, Ground Floor Sy. No-91, 40-304, K. J. Complex",Opens soon,· 11 am,Dine-in,·,Kerbside pickup,·,Delivery,Order online,,·,"₹200–1,000",,
Malik Lotus Restaurant,4.1,"-6,155",Biryani,·,"Plot No.106, Haji Gulam Hussain Arcade Bulding, First Floor, Park Road, Abdullah Khan Estate Ln",Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,Delivery,Order online,,·,₹200–600,,
Elite Le Opera Multi Cuisine Restaurant,3.8,-996,Indian,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹200–400,,"SP Square,Between Malabar Gold&Joyallukas, Park Rd"
𝐑𝐊 𝐅𝐀𝐌𝐈𝐋𝐘 𝐑𝐄𝐒𝐓𝐀𝐔𝐑𝐀𝐍𝐓,4.9,-209,Restaurant,·,Hussainapuram village,Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,,,,,·,₹200–400,,
Ajantha Meals & Tiffin Center,4.0,"-1,734",Breakfast,·,·,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery,Order online,,·,₹1–200,,Old Bus Stand Rd
Sree Divya Family Restaurant,4.2,"-1,543",Biryani,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,"₹200–1,200",,"Q2GH+MJ6, NH 44"
AVANTHI'S RISE N DINE RESTAURANT అవంతి రెస్టారెంట్,3.4,-95,Family-friendly,·,"R2Q7+W7V, near santhosh nager, opposite mahendra show room",Opens soon,· 11 am,Dine-in,·,Takeaway,·,Delivery,Order online,,·,₹1–400,,
Anna Canteen,4.0,-90,Cafeteria,·,"R2MX+7P8, Konda Reddy Fort Rd",Open,· Closes 9:30 pm,On the menu:,,cafes,,,,,·,₹1–200,,
Udipi's Upahar - Kurnool NH.44,3.8,-337,Family-friendly,·,"NH.44, opp. KIA SHOWROOM, beside HP Petroleum Pump",,,No dine-in,·,No takeaway,·,No delivery,,,·,₹1–200,,
Kumbakonam Degree Coffee,4.6,-7,Coffee store,·,"5. 72.62/2 106 Dinnedevarapadu, Hyderabad - Bangalore Hwy, opposite to Mr. idli hotel",Open,· Closes 9 pm,,,,,,,,,,,
Hotel International Food World Kurnool,3.9,"-2,820",Biryani,,,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹200–400,,
Madhavi Restaurant,3.8,-142,Restaurant,·,·,Open,· Closes 11:30 pm,Dine-in,·,Takeaway,,,,,·,₹200–400,,"R2MM+7CH, Railway Station Rd"
KUMBAKONAM Degree Coffee,4.1,-31,Coffee store,·,d.no.40/840 revised d. no 40/840-4 and D. no 40/840-4 first floor opposite sbi main branch kurnool ap-518004,Open,· Closes 9 pm,"""Good quality coffee available""",,,,,,,·,₹1–200,,
Brahmaiah Hotel,4.0,-265,Restaurant,·,·,Open,· Closes 12 pm · Reopens 6:30 pm,Dine-in,·,Takeaway,,,,,·,₹1–200,,"R3H2+8X6, Sagmandi St"
Rajavilas Restaurant,3.8,-772,Biryani,·,·,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,,·,₹200–400,,"R2HQ+G4Q, Raj Vihar Road, near jila parishad Rajavihar complex"
Lotus Hotel,4.2,-47,Restaurant,·,C-Camp Center,Open 24 hours,,Dine-in,·,Takeaway,,,,,·,₹200–400,,
