qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
"Domino's Pizza | Srinagar, Kakinada",4.0,"-4,165",·,₹200–400,Pizza,·,,·,"Door No. 2, Upper Ground Floor, Sri Rangarayanim Residency, 1-47, Bhanugudi Jct",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
HYGGEE FAMILY RESTAURANT,3.8,"-1,812",·,₹200–400,Biryani,·,,,,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
MANDI PALACE BEST RESTAURANT IN KAKINADA,3.9,-89,·,"₹200–1,200",Family-friendly,·,,"flat no.g4, vgp plaza, Main Rd, beside kandukuri",,Opens soon,· 11 am,Dine-in,·,Takeaway,,,,
PANDA MOMO'S CAFE,4.6,-13,·,₹1–200,Momo restaurant,·,,·,"Jntuk Indoor Stadium, NFCL Rd",Closed,· Opens 5 pm,Dine-in,·,Drive-through,,,,
Meesala Raju Gari Ashoka Hotel Since1946,3.9,"-1,857",·,₹200–400,Biryani,·,,·,"Ganjam Vari Street, Main Rd, near Masid Center",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
"La Pino'z Pizza - G O Colony, Kakinada, (A.P.)",4.3,-468,·,₹200–400,Pizza,·,,"3-16d-6/4/G-1, beside Foundation Hospital",,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
LA ALTURA,4.4,-73,·,₹200–400,Cafe,·,,"No.30, Revenue Ward, 70-14-2/8A, opp. JNTUK Back gate(East",,,,"""It was too peaceful and coming to the food it tastes like heaven.""",,,,,,
Barbeque Nation - Kakinada - SRMT Mall,4.2,"-2,421",·,"₹800–1,000",Barbecue,·,,·,"Unit No. 2, 4th Floor Door No. 4-21,SRMT Mall & Multiplex, Pithapuram - Kakinada Rd",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Kokila Tiffin Center,3.8,-565,·,₹1–200,Breakfast,·,,"Kota Peta Market, opp. Vinayaka Temple",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,
Kritunga,4.5,"-3,688",·,"₹200–1,200",Family-friendly,·,,"X6CR+5HM, BVS Patrudu St",,,,"""Warmth welcoming and tasty food with good service""",,,,,,
